City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,jamestown,42.097,-79.2353,26.8,57,20,4.63,US,1689882308
224,tubarjal,30.4999,38.216,32.4,16,0,6.87,SA,1689882531
225,balakhta,55.38,91.6,14.21,83,100,1.13,RU,1689882531
226,niquelandia,-14.4739,-48.4597,30.2,23,41,4.53,BR,1689882531
227,ancud,-41.8697,-73.8203,11.16,88,21,8.83,CL,1689882408
228,moyynkum,44.2914,72.9469,27.58,21,28,3.69,KZ,1689882532
229,fort st. john,56.2499,-120.8529,23.94,41,0,2.06,CA,1689882532
230,mahibadhoo,3.7833,72.9667,27.73,78,95,3.85,MV,1689882397
231,alice springs,-23.7,133.8833,8.75,76,75,3.09,AU,1689882227
232,sinop,41.7711,34.8709,19.25,77,0,1.74,TR,1689882293
233,kitimat,54.0524,-128.6534,27.6,60,79,1.34,CA,1689882532
234,nemuro,43.3236,145.575,14.12,93,1,2.42,JP,1689882299
235,drayton valley,53.2168,-114.9854,22.9,61,11,1.89,CA,1689882533
236,avarua,-21.2078,-159.775,22.03,56,75,3.6,CK,1689882400
237,raja,8.4596,25.678,22.7,82,79,1.7,SS,1689882533
238,mananjary,-21.2167,48.3333,20.57,90,32,0.25,MG,1689882450
239,bridgewater,44.3835,-64.5155,24.5,85,100,4.12,CA,1689882437
240,vidyayevo,69.3191,32.8049,9.06,89,100,7.68,RU,1689882534
241,tolanaro,-25.0319,46.9987,20.04,94,40,2.06,MG,1689882400
242,bodaybo,57.8506,114.1933,10.97,95,100,0.44,RU,1689882433
243,stanley,54.868,-1.6985,14.3,90,20,1.54,GB,1689882266
244,markovo,57.3206,107.0881,12.83,81,7,0.59,RU,1689882414
245,cabo san lucas,22.8909,-109.9124,37.01,43,20,6.17,MX,1689882442
246,giado,31.9582,12.0203,29.97,18,0,3.31,LY,1689882536
247,port blair,11.6667,92.75,26.02,89,75,1.54,IN,1689882341
248,takoradi,4.8845,-1.7554,24.83,88,9,3.3,GH,1689882536
249,st. john's,47.5649,-52.7093,28.66,65,75,8.23,CA,1689882324
250,ulety,51.3572,112.4849,11.11,60,20,0.31,RU,1689882537
251,novyy urgal,51.0736,132.5642,17.77,92,66,0.32,RU,1689882459
252,hirara,24.8,125.2833,26.92,94,64,1.54,JP,1689882537
253,dwarka,22.2394,68.9678,27.99,86,100,7.53,IN,1689882396
254,weno,7.4515,151.8468,27.97,89,100,1.54,FM,1689882538
255,bardai,11.65,7.2333,24.99,77,100,4.41,NG,1689882538
256,chonchi,-42.6128,-73.8092,12.84,78,41,4.49,CL,1689882378
257,sinabang,2.4803,96.3801,25.7,82,100,1.77,ID,1689882318
258,dadukou,26.5479,101.7054,21.7,92,99,0.37,CN,1689882538
259,sola,-13.8833,167.55,25.41,85,91,9.0,VU,1689882539
260,cockburn town,21.4612,-71.1419,28.16,80,100,8.46,TC,1689882539
261,acarau,-2.8856,-40.12,27.25,65,2,8.28,BR,1689882244
262,kandel,49.0892,8.1842,23.78,51,100,2.72,DE,1689882335
263,acatic,20.7833,-102.8833,30.06,26,82,1.25,MX,1689882539
264,floro,61.5996,5.0328,11.98,94,75,0.51,NO,1689882285
